page_path,selector_context,current_remote_url,proposed_local_path,alt_text
fr/realisations/index.html,img:nth-of-type(3),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-product-and-engineering-team-planning-e-commerce-platform-de.jpg,Équipe produit planifiant l’évolution d’une plateforme e-commerce
fr/ressources/accessibilite-web-wcag-ameliorations-pratiques/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,Accessibilité web (WCAG) : améliorations pratiques
fr/ressources/analytique-utile-ga4-confidentialite-kpi/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,Analytique utile : GA4 + confidentialité + KPI
fr/ressources/base-connaissances-interne-securisee-rag-permissions/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,Base de connaissances interne sécurisée : Drive/SharePoint + RAG + permissions
fr/ressources/bibliotheque-prompts-equipe-prompts-reutilisables/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Bibliothèque de prompts d’équipe : modèles réutilisables pour marketing, opérations et support"
fr/ressources/choisir-hebergement-web-canada/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Choisir un hébergement au Canada : performance, confidentialité et conformité"
fr/ressources/contenu-web-qui-convertit/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,"Contenu web qui convertit : services, FAQ et preuves"
fr/ressources/correctifs-site-web-avant-lancer-publicites/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-website-analytics-dashboard-on-laptop.jpg,Que réparer sur votre site Web avant de lancer des annonces
fr/ressources/guide-pdg-choisir-fournisseur-ti-infogere-canada/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-business-strategy-meeting-in-montreal-office.jpg,Guide du PDG pour choisir un MSP au Canada
fr/ressources/hygiene-cyber-pme-10-controles-essentiels/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Hygiène cyber pour PME : 10 contrôles qui préviennent la majorité des incidents
fr/ressources/ia-activation-ventes-propositions-crm-garde-fous/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,"Activation des ventes avec l’IA : propositions, notes CRM et garde-fous"
fr/ressources/ia-locale-vs-ia-infonuagique-entreprise/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"IA locale vs IA infonuagique en entreprise : coûts, confidentialité et cas gagnants"
fr/ressources/ia-service-client-redaction-triage-boucle-humaine/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,"IA pour le service client : rédaction, triage et validation humaine"
fr/ressources/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-concept-d-assistance-ia-avec-robot-et-ordinateur-portable.jpg,Comment OpenClaw et l’assistance IA aident les entreprises à accélérer
fr/ressources/index.html,img:nth-of-type(10),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,"Politique IA pour PME : outils autorisés, règles de données et plan de déploiement"
fr/ressources/index.html,img:nth-of-type(11),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Bibliothèque de prompts d’équipe : modèles réutilisables pour marketing, opérations et support"
fr/ressources/index.html,img:nth-of-type(12),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,"Pile de productivité IA : notes de réunion, recherche et automatisation des tâches"
fr/ressources/index.html,img:nth-of-type(13),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Maintenance web gérée : qu’est-ce qui est inclus
fr/ressources/index.html,img:nth-of-type(14),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,Liste de vérification refonte web pour PME canadiennes (édition 2025)
fr/ressources/index.html,img:nth-of-type(15),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,SPF/DKIM/DMARC sans douleur
fr/ressources/index.html,img:nth-of-type(16),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Choisir un hébergement au Canada : performance, confidentialité et conformité"
fr/ressources/index.html,img:nth-of-type(17),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,SEO local pour Montréal et entreprises de services pancanadiennes
fr/ressources/index.html,img:nth-of-type(18),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Hygiène cyber pour PME : 10 contrôles qui préviennent la majorité des incidents
fr/ressources/index.html,img:nth-of-type(19),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,"Contenu web qui convertit : services, FAQ et preuves"
fr/ressources/index.html,img:nth-of-type(2),https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-business-strategy-meeting-in-montreal-office.jpg,Guide du PDG pour choisir un MSP au Canada
fr/ressources/index.html,img:nth-of-type(20),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,Accessibilité web (WCAG) : améliorations pratiques
fr/ressources/index.html,img:nth-of-type(21),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,Analytique utile : GA4 + confidentialité + KPI
fr/ressources/index.html,img:nth-of-type(22),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,Performance 101 : gains rapides sur les Core Web Vitals
fr/ressources/index.html,img:nth-of-type(23),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Liste de vérification migration courriel : Microsoft 365 / Google Workspace
fr/ressources/index.html,img:nth-of-type(24),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,Sauvegardes et reprise après sinistre : à quoi ressemble une bonne pratique
fr/ressources/index.html,img:nth-of-type(3),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-website-analytics-dashboard-on-laptop.jpg,Que réparer sur votre site Web avant de lancer des annonces
fr/ressources/index.html,img:nth-of-type(4),https://images.unsplash.com/photo-1563986768494-4dee2763ff3f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-liste-de-verification-cybersecurite-2026-pour-les-pme-canadi.jpg,Liste de vérification cybersécurité 2026 pour les PME canadiennes
fr/ressources/index.html,img:nth-of-type(5),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,RAG pour PME : transformer vos documents en moteur de réponses (sans fuite de données)
fr/ressources/index.html,img:nth-of-type(6),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"IA locale vs IA infonuagique en entreprise : coûts, confidentialité et cas gagnants"
fr/ressources/index.html,img:nth-of-type(7),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,Base de connaissances interne sécurisée : Drive/SharePoint + RAG + permissions
fr/ressources/index.html,img:nth-of-type(8),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,"IA pour le service client : rédaction, triage et validation humaine"
fr/ressources/index.html,img:nth-of-type(9),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,"Activation des ventes avec l’IA : propositions, notes CRM et garde-fous"
fr/ressources/liste-verification-cybersecurite-pme-canadiennes-2026/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1563986768494-4dee2763ff3f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-liste-de-verification-cybersecurite-2026-pour-les-pme-canadi.jpg,Liste de vérification cybersécurité 2026 pour les PME canadiennes
fr/ressources/liste-verification-migration-courriel-m365-google-workspace/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Liste de vérification migration courriel : Microsoft 365 / Google Workspace
fr/ressources/liste-verification-refonte-site-web-pme-canadiennes-2025/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,Liste de vérification refonte web pour PME canadiennes (édition 2025)
fr/ressources/maintenance-site-web-geree-ce-qui-est-inclus/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Maintenance web gérée : qu’est-ce qui est inclus
fr/ressources/openclaw-assistance-ia-accelerer-entreprise/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-concept-d-assistance-ia-avec-robot-et-ordinateur-portable.jpg,Comment OpenClaw et l’assistance IA aident les entreprises à accélérer
fr/ressources/performance-101-core-web-vitals-gains-rapides/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,Performance 101 : gains rapides sur les Core Web Vitals
fr/ressources/pile-productivite-ia-notes-recherche-automatisation/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,"Pile de productivité IA : notes de réunion, recherche et automatisation des tâches"
fr/ressources/politique-ia-pour-pme-outils-autorises-regles-donnees-deploiement/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,"Politique IA pour PME : outils autorisés, règles de données et plan de déploiement"
fr/ressources/rag-pour-pme-moteur-reponses-sans-fuite-donnees/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,RAG pour PME : transformer vos documents en moteur de réponses (sans fuite de données)
fr/ressources/sauvegardes-reprise-apres-sinistre-bonnes-pratiques/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,Sauvegardes et reprise après sinistre : à quoi ressemble une bonne pratique
fr/ressources/seo-local-montreal-entreprises-services-canada/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,SEO local pour Montréal et entreprises de services pancanadiennes
fr/ressources/spf-dkim-dmarc-sans-douleur/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,SPF/DKIM/DMARC sans douleur
fr/services/cloud-infrastructure/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-cloud-infrastructure.jpg,Cloud Infrastructure
fr/services/conception-web/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1467232004584-a241de8bcf5d?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-web-design-workspace.jpg,Web design workspace
fr/services/conseil-ti-vcio/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1552664730-d307ca884978?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-it-strategy-meeting.jpg,IT Strategy Meeting
fr/services/cybersecurite/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1563986768609-322da13575f3?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-cybersecurity-monitoring-center.jpg,Cybersecurity Monitoring Center
fr/services/implementation-ia/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1521737604893-d14cc237f11d?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-equipe-en-reunion-qui-planifie-l-implantation-de-flux-ia-en-.jpg,Équipe en réunion qui planifie l’implantation de flux IA en entreprise
fr/services/services-ti-geres/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1553877522-43269d4ea984?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80,assets/images/services/services-it-support-montreal.jpg,IT Support Montreal
index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1552664730-d307ca884978?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-nestego-team-collaborating-with-montreal-clients.jpg,Nestego team collaborating with Montreal clients
index.html,img:nth-of-type(10),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-website-analytics-dashboard-on-laptop.jpg,Website analytics dashboard on laptop
index.html,img:nth-of-type(2),https://images.unsplash.com/photo-1497366754035-f200968a6e72?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-legal-team-reviewing-documents-in-a-modern-office.jpg,Legal team reviewing documents in a modern office
index.html,img:nth-of-type(3),https://images.unsplash.com/photo-1516549655169-df83a0774514?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-hospital-it-and-clinical-staff-collaborating-around-a-workst.jpg,Hospital IT and clinical staff collaborating around a workstation
index.html,img:nth-of-type(4),https://images.unsplash.com/photo-1460925895917-afdab827c52f?ixlib=rb-4.0.3&auto=format&fit=crop&w=1400&q=80,assets/images/case-studies/site-product-and-engineering-team-planning-e-commerce-platform-de.jpg,Product and engineering team planning e-commerce platform delivery
index.html,img:nth-of-type(8),https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-concept-d-assistance-ia-avec-robot-et-ordinateur-portable.jpg,AI assistant concept with robot and laptop in office
index.html,img:nth-of-type(9),https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-business-strategy-meeting-in-montreal-office.jpg,Business strategy meeting in Montreal office
resources/accessibility-basics-wcag-practical-improvements/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,Accessibility Basics (WCAG): Practical Improvements
resources/ai-customer-support-drafting-triage-human-loop/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,"AI for Customer Support: Drafting, Triage, Human-in-the-Loop"
resources/ai-policy-for-smb-allowed-tools-data-rules-rollout/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,"AI Policy for SMBs: Allowed Tools, Data Rules, Rollout Plan"
resources/ai-productivity-stack-notes-search-automation/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,"AI Productivity Stack: Meeting Notes, Search, Task Automation"
resources/analytics-that-matter-ga4-privacy-kpis/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,Analytics That Matter: GA4 + privacy + KPIs
resources/backups-disaster-recovery-what-good-looks-like/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1461749280684-dccba630e2f6?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-contenu-web-qui-convertit-services-faq-et-preuves.jpg,Backups & Disaster Recovery: What “Good” Looks Like
resources/ceo-guide-choosing-msp-canada/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-business-strategy-meeting-in-montreal-office.jpg,CEO's Guide to Choosing an MSP in Canada
resources/choosing-hosting-in-canada/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Choosing Hosting in Canada: Performance, Privacy, Compliance"
resources/cyber-hygiene-10-controls-smb/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Cyber Hygiene for SMBs: 10 Controls That Prevent Most Incidents
resources/cybersecurity-checklist-canadian-smb-2026/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1563986768494-4dee2763ff3f?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-liste-de-verification-cybersecurite-2026-pour-les-pme-canadi.jpg,2026 Cybersecurity Checklist for Canadian SMBs
resources/email-migration-checklist-m365-google-workspace/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Email Migration Checklist: Microsoft 365 / Google Workspace
resources/index.html,img:nth-of-type(1),https://images.unsplash.com/photo-1485827404703-89b55fcc595e?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/site/site-concept-d-assistance-ia-avec-robot-et-ordinateur-portable.jpg,How OpenClaw + AI Assistance Helps Businesses Move Faster
resources/index.html,img:nth-of-type(10),https://images.unsplash.com/photo-1516321318423-f06f85e504b3?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-accessibilite-web-wcag-ameliorations-pratiques.jpg,"AI Policy for SMBs: Allowed Tools, Data Rules, Rollout Plan"
resources/index.html,img:nth-of-type(11),https://images.unsplash.com/photo-1551434678-e076c223a692?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-analytique-utile-ga4-confidentialite-kpi.jpg,"Team Prompt Library: Reusable Prompts for Marketing, Ops, Support"
resources/index.html,img:nth-of-type(12),https://images.unsplash.com/photo-1451187580459-43490279c0fa?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-base-de-connaissances-interne-securisee-drive-sharepoint-rag.jpg,"AI Productivity Stack: Meeting Notes, Search, Task Automation"
resources/index.html,img:nth-of-type(13),https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?ixlib=rb-4.0.3&auto=format&fit=crop&w=800&q=80,assets/images/resources/resources-hygiene-cyber-pour-pme-10-controles-qui-previennent-la-major.jpg,Managed Website Maintenance: What’s Included
